date;close;adjusted_close;dividend
26/09/2019 00:00;23.632;23.632;0
27/09/2019 00:00;23.741;23.741;0
30/09/2019 00:00;23.896;23.896;0
01/10/2019 00:00;23.55;23.55;0
02/10/2019 00:00;22.817;22.817;0
03/10/2019 00:00;22.892;22.892;0
04/10/2019 00:00;23.096;23.096;0
07/10/2019 00:00;23.243;23.243;0
08/10/2019 00:00;22.968;22.968;0
09/10/2019 00:00;23.14;23.14;0
10/10/2019 00:00;23.435;23.435;0
11/10/2019 00:00;23.852;23.852;0
14/10/2019 00:00;23.755;23.755;0
15/10/2019 00:00;24.012;24.012;0
16/10/2019 00:00;23.981;23.981;0
17/10/2019 00:00;23.889;23.889;0
18/10/2019 00:00;23.727;23.727;0
21/10/2019 00:00;23.785;23.785;0
22/10/2019 00:00;23.814;23.814;0
23/10/2019 00:00;23.793;23.793;0
24/10/2019 00:00;23.918;23.918;0
25/10/2019 00:00;24.085;24.085;0
28/10/2019 00:00;24.126;24.126;0
29/10/2019 00:00;24.162;24.162;0
30/10/2019 00:00;24.258;24.258;0
31/10/2019 00:00;24.131;24.131;0
01/11/2019 00:00;24.256;24.256;0
04/11/2019 00:00;24.522;24.522;0
05/11/2019 00:00;24.612;24.612;0
06/11/2019 00:00;24.704;24.704;0
07/11/2019 00:00;24.808;24.808;0
08/11/2019 00:00;24.788;24.788;0
11/11/2019 00:00;24.821;24.821;0
12/11/2019 00:00;24.935;24.935;0
13/11/2019 00:00;24.872;24.872;0
14/11/2019 00:00;24.841;24.841;0
15/11/2019 00:00;25.004;25.004;0
18/11/2019 00:00;24.958;24.958;0
19/11/2019 00:00;24.878;24.878;0
20/11/2019 00:00;24.818;24.818;0
21/11/2019 00:00;24.776;24.776;0
22/11/2019 00:00;24.808;24.808;0
25/11/2019 00:00;24.948;24.948;0
26/11/2019 00:00;24.973;24.973;0
27/11/2019 00:00;24.954;24.954;0
28/11/2019 00:00;24.898;24.898;0
29/11/2019 00:00;24.865;24.865;0
02/12/2019 00:00;24.379;24.379;0
03/12/2019 00:00;24.126;24.126;0
04/12/2019 00:00;24.44;24.44;0
05/12/2019 00:00;24.451;24.451;0
06/12/2019 00:00;24.745;24.745;0
09/12/2019 00:00;24.596;24.596;0
10/12/2019 00:00;24.641;24.641;0
11/12/2019 00:00;24.704;24.704;0
12/12/2019 00:00;24.793;24.793;0
13/12/2019 00:00;24.959;24.959;0
16/12/2019 00:00;25.255;25.255;0
17/12/2019 00:00;25.141;25.141;0
18/12/2019 00:00;25.118;25.118;0
19/12/2019 00:00;25.165;25.165;0
20/12/2019 00:00;25.378;25.378;0
23/12/2019 00:00;25.417;25.417;0
24/12/2019 00:00;25.412;25.412;0
27/12/2019 00:00;25.44;25.44;0
30/12/2019 00:00;25.201;25.201;0
31/12/2019 00:00;25.197;25.197;0
02/01/2020 00:00;25.462;25.462;0
03/01/2020 00:00;25.476;25.476;0
06/01/2020 00:00;25.385;25.385;0
07/01/2020 00:00;25.387;25.387;0
08/01/2020 00:00;25.435;25.435;0
09/01/2020 00:00;25.505;25.505;0
10/01/2020 00:00;25.481;25.481;0
13/01/2020 00:00;25.478;25.478;0
14/01/2020 00:00;25.511;25.511;0
15/01/2020 00:00;25.479;25.479;0
16/01/2020 00:00;25.508;25.508;0
17/01/2020 00:00;25.771;25.771;0
20/01/2020 00:00;25.681;25.681;0
21/01/2020 00:00;25.53;25.53;0
22/01/2020 00:00;25.391;25.391;0
23/01/2020 00:00;25.228;25.228;0
24/01/2020 00:00;25.444;25.444;0
27/01/2020 00:00;24.767;24.767;0
28/01/2020 00:00;25.042;25.042;0
29/01/2020 00:00;25.174;25.174;0
30/01/2020 00:00;24.809;24.809;0
31/01/2020 00:00;24.521;24.521;0
03/02/2020 00:00;24.646;24.646;0
04/02/2020 00:00;25.076;25.076;0
05/02/2020 00:00;25.287;25.287;0
06/02/2020 00:00;25.501;25.501;0
07/02/2020 00:00;25.466;25.466;0
10/02/2020 00:00;25.416;25.416;0
11/02/2020 00:00;25.567;25.567;0
12/02/2020 00:00;25.78;25.78;0
13/02/2020 00:00;25.728;25.728;0
14/02/2020 00:00;25.632;25.632;0
17/02/2020 00:00;25.704;25.704;0
18/02/2020 00:00;25.584;25.584;0
19/02/2020 00:00;25.795;25.795;0
20/02/2020 00:00;25.608;25.608;0
21/02/2020 00:00;25.46;25.46;0
24/02/2020 00:00;24.445;24.445;0
25/02/2020 00:00;23.968;23.968;0
26/02/2020 00:00;24.005;24.005;0
27/02/2020 00:00;23.214;23.214;0
28/02/2020 00:00;22.452;22.452;0
02/03/2020 00:00;22.558;22.558;0
03/03/2020 00:00;23.2;23.2;0
04/03/2020 00:00;23.14;23.14;0
05/03/2020 00:00;22.687;22.687;0
06/03/2020 00:00;21.755;21.755;0
