date;close;adjusted_close;dividend
03/02/2022 00:00;201.3;201.3;0
04/02/2022 00:00;198.9;198.9;0
07/02/2022 00:00;200.19;200.19;0
08/02/2022 00:00;200.25;200.25;0
09/02/2022 00:00;203.52;203.52;0
10/02/2022 00:00;203.13;203.13;0
11/02/2022 00:00;202.02;202.02;0
14/02/2022 00:00;198.34;198.34;0
15/02/2022 00:00;201.31;201.31;0
16/02/2022 00:00;201.04;201.04;0
17/02/2022 00:00;199.83;199.83;0
18/02/2022 00:00;198.1;198.1;0
21/02/2022 00:00;195.39;195.39;0
22/02/2022 00:00;195.53;195.53;0
23/02/2022 00:00;195.06;195.06;0
24/02/2022 00:00;188.52;188.52;0
25/02/2022 00:00;195.04;195.04;0
28/02/2022 00:00;194.76;194.76;0
01/03/2022 00:00;190.3;190.3;0
02/03/2022 00:00;191.84;191.84;0
03/03/2022 00:00;188.34;188.34;0
04/03/2022 00:00;181.49;181.49;0
07/03/2022 00:00;179.54;179.54;0
08/03/2022 00:00;178.63;178.63;0
09/03/2022 00:00;187.45;187.45;0
10/03/2022 00:00;184.05;184.05;0
11/03/2022 00:00;185.92;185.92;0
14/03/2022 00:00;188.12;188.12;0
15/03/2022 00:00;187.86;187.86;0
16/03/2022 00:00;193.38;193.38;0
17/03/2022 00:00;194.47;194.47;0
18/03/2022 00:00;196.16;196.16;0
21/03/2022 00:00;196.32;196.32;0
22/03/2022 00:00;197.9;197.9;0
23/03/2022 00:00;195.85;195.85;0
24/03/2022 00:00;195.45;195.45;0
25/03/2022 00:00;195.66;195.66;0
28/03/2022 00:00;195.75;195.75;0
29/03/2022 00:00;199.52;199.52;0
30/03/2022 00:00;198.73;198.73;0
31/03/2022 00:00;196.82;196.82;0
01/04/2022 00:00;197.87;197.87;0
04/04/2022 00:00;199.48;199.48;0
05/04/2022 00:00;199.93;199.93;0
06/04/2022 00:00;197.08;197.08;0
07/04/2022 00:00;196.77;196.77;0
08/04/2022 00:00;199.65;199.65;0
11/04/2022 00:00;198.43;198.43;0
12/04/2022 00:00;197.85;197.85;0
13/04/2022 00:00;197.79;197.79;0
14/04/2022 00:00;199.23;199.23;0
19/04/2022 00:00;197.71;197.71;0
20/04/2022 00:00;199.37;199.37;0
21/04/2022 00:00;200.1;200.1;0
22/04/2022 00:00;196.34;196.34;0
25/04/2022 00:00;192.91;192.91;0
26/04/2022 00:00;191.38;191.38;0
27/04/2022 00:00;192.65;192.65;0
28/04/2022 00:00;194.17;194.17;0
29/04/2022 00:00;195.5;195.5;0
02/05/2022 00:00;192.08;192.08;0
03/05/2022 00:00;194.18;194.18;0
04/05/2022 00:00;191.84;191.84;0
05/05/2022 00:00;190.67;190.67;0
06/05/2022 00:00;187.23;187.23;0
09/05/2022 00:00;181.82;181.82;0
10/05/2022 00:00;183.14;183.14;0
11/05/2022 00:00;186.2;186.2;0
12/05/2022 00:00;184.94;184.94;0
13/05/2022 00:00;189.3;189.3;0
16/05/2022 00:00;189.38;189.38;0
17/05/2022 00:00;191.77;191.77;0
18/05/2022 00:00;189.4;189.4;0
19/05/2022 00:00;187.22;187.22;0
20/05/2022 00:00;188.32;188.32;0
23/05/2022 00:00;190.99;190.99;0
24/05/2022 00:00;188.8;188.8;0
25/05/2022 00:00;189.87;189.87;0
26/05/2022 00:00;192.01;192.01;0
27/05/2022 00:00;194.47;194.47;0
30/05/2022 00:00;195.57;195.57;0
31/05/2022 00:00;193.99;193.99;0
01/06/2022 00:00;192.27;192.27;0
02/06/2022 00:00;193.52;193.52;0
03/06/2022 00:00;193.02;193.02;0
06/06/2022 00:00;195.2;195.2;0
07/06/2022 00:00;194.07;194.07;0
08/06/2022 00:00;192.92;192.92;0
09/06/2022 00:00;190.31;190.31;0
10/06/2022 00:00;185.08;185.08;0
13/06/2022 00:00;180.54;180.54;0
14/06/2022 00:00;178.33;178.33;0
15/06/2022 00:00;181.19;181.19;0
16/06/2022 00:00;176.62;176.62;0
17/06/2022 00:00;176.69;176.69;0
20/06/2022 00:00;178.35;178.35;0
21/06/2022 00:00;179.2;179.2;0
22/06/2022 00:00;177.7;177.7;0
23/06/2022 00:00;176.3;176.3;0
24/06/2022 00:00;181.3;181.3;0
27/06/2022 00:00;181.89;181.89;0
28/06/2022 00:00;182.03;182.03;0
29/06/2022 00:00;180.86;180.86;0
30/06/2022 00:00;178.17;178.17;0
01/07/2022 00:00;178.3;178.3;0
04/07/2022 00:00;179.11;179.11;0
05/07/2022 00:00;175.48;175.48;0
06/07/2022 00:00;178.45;178.45;0
07/07/2022 00:00;181.9;181.9;0
08/07/2022 00:00;182.69;182.69;0
11/07/2022 00:00;181.89;181.89;0
12/07/2022 00:00;182.44;182.44;0
13/07/2022 00:00;180.69;180.69;0
14/07/2022 00:00;177.8;177.8;0
15/07/2022 00:00;181.36;181.36;0
18/07/2022 00:00;182.95;182.95;0
19/07/2022 00:00;185.57;185.57;0
20/07/2022 00:00;185.14;185.14;0
21/07/2022 00:00;185.93;185.93;0
22/07/2022 00:00;186.65;186.65;0
25/07/2022 00:00;186.76;186.76;0
26/07/2022 00:00;186.77;186.77;0
27/07/2022 00:00;187.77;187.77;0
28/07/2022 00:00;189.8;189.8;0
29/07/2022 00:00;192.02;192.02;0
01/08/2022 00:00;191.72;191.72;0
02/08/2022 00:00;191.11;191.11;0
03/08/2022 00:00;192.05;192.05;0
04/08/2022 00:00;192.45;192.45;0
05/08/2022 00:00;190.96;190.96;0
08/08/2022 00:00;192.63;192.63;0
09/08/2022 00:00;191.13;191.13;0
10/08/2022 00:00;193.03;193.03;0
11/08/2022 00:00;193.46;193.46;0
12/08/2022 00:00;193.74;193.74;0
15/08/2022 00:00;194.28;194.28;0
16/08/2022 00:00;194.64;194.64;0
17/08/2022 00:00;192.64;192.64;0
18/08/2022 00:00;193.54;193.54;0
19/08/2022 00:00;191.96;191.96;0
22/08/2022 00:00;190.26;190.26;0
23/08/2022 00:00;189.22;189.22;0
24/08/2022 00:00;189.78;189.78;0
25/08/2022 00:00;190.39;190.39;0
26/08/2022 00:00;187.22;187.22;0
29/08/2022 00:00;185.7;185.7;0
30/08/2022 00:00;184.74;184.74;0
31/08/2022 00:00;182.61;182.61;0
01/09/2022 00:00;179.46;179.46;0
02/09/2022 00:00;183.16;183.16;0
